complaint_id,complaint_text,category,priority,department,location,date_submitted,status
25,No drinking water in school campus,Education,High,Education,Kolkata,2024-11-19,Resolved
26,Aadhaar update not processed,Government Services,Medium,Government Services,Delhi,2024-02-13,In Progress
27,Garbage not collected for several days,Sanitation,Medium,Sanitation,Bangalore,2024-08-22,Resolved
28,Harassment reported in public place,Police/Safety,Low,Police/Safety,Delhi,2024-12-03,Pending
29,Overcrowding in buses,Transport,Medium,Transport,Bangalore,2024-03-04,Pending
30,Voltage fluctuations damaging appliances,Electricity,High,Electricity,Kolkata,2025-03-08,Pending
31,Voltage fluctuations damaging appliances,Electricity,Medium,Electricity,Patna,2025-05-13,In Progress
32,Street lights not working,Electricity,Low,Electricity,Chennai,2025-05-23,Pending
33,UPI payment fraud reported,IT Fraud,High,IT Fraud,Chennai,2024-07-25,Pending
34,Bank OTP fraud attempt,IT Fraud,Low,IT Fraud,Mumbai,2024-04-09,In Progress
35,Dirty public toilets in market,Sanitation,High,Sanitation,Delhi,2024-09-09,Resolved
36,Lack of books in school library,Education,High,Education,Ranchi,2025-08-05,Pending
37,Open garbage dumping ground issue,Sanitation,Low,Sanitation,Chennai,2024-10-25,Resolved
38,Bus service not running on schedule,Transport,Low,Transport,Hyderabad,2024-12-28,Pending
39,Road construction incomplete for months,Roads,High,Roads,Patna,2024-12-05,In Progress
40,Street lights not working,Electricity,Medium,Electricity,Mumbai,2025-06-25,Pending
41,Transformer failure in locality,Electricity,High,Electricity,Patna,2025-08-21,Resolved
42,Huge pothole near school entrance,Roads,Medium,Roads,Bangalore,2025-03-18,Pending
43,Water pipeline leakage near house,Water,High,Water,Delhi,2024-04-08,Pending
44,Poor cleanliness in buses,Transport,Medium,Transport,Chennai,2025-02-03,Resolved
45,Bus service not running on schedule,Transport,Medium,Transport,Delhi,2025-03-22,Pending
46,Overflowing dustbins in the area,Sanitation,Low,Sanitation,Chennai,2024-11-03,Pending
47,Train ticket booking issue,Transport,High,Transport,Chennai,2025-06-02,Pending
48,Broken road near market area,Roads,Low,Roads,Ranchi,2024-12-20,Pending
49,Dirty water coming from taps,Water,High,Water,Kolkata,2025-08-12,Resolved
50,Vaccination not available in local clinic,Health,Medium,Health,Kolkata,2024-06-21,Pending
51,Water logging due to bad road condition,Roads,Low,Roads,Chennai,2024-05-22,In Progress
52,Shortage of medicines in health center,Health,Medium,Health,Ranchi,2024-04-16,Pending
53,Poor infrastructure in government school,Education,Low,Education,Hyderabad,2025-08-03,In Progress
54,Bus stop shelter damaged,Transport,High,Transport,Patna,2024-05-14,Resolved
55,Bus service not running on schedule,Transport,Low,Transport,Kolkata,2025-06-02,In Progress
56,Transformer failure in locality,Electricity,Medium,Electricity,Bangalore,2024-09-20,In Progress
57,Corruption complaint in local office,Government Services,High,Government Services,Mumbai,2024-08-12,Resolved
58,Ambulance service delayed during emergency,Health,High,Health,Ranchi,2025-02-04,Pending
59,Social media account hacked,IT Fraud,High,IT Fraud,Ranchi,2025-05-24,In Progress
60,Transformer failure in locality,Electricity,High,Electricity,Patna,2025-03-08,Pending
61,Teacher not attending classes regularly,Education,Medium,Education,Mumbai,2025-06-17,Pending
62,Lack of books in school library,Education,Medium,Education,Hyderabad,2025-06-01,In Progress
63,Shortage of medicines in health center,Health,High,Health,Bangalore,2025-07-25,Resolved
64,Delay in issuing birth certificate,Government Services,Medium,Government Services,Delhi,2025-02-19,In Progress
65,Theft reported in neighborhood,Police/Safety,Medium,Police/Safety,Ranchi,2024-06-05,Resolved
66,Delay in issuing birth certificate,Government Services,Low,Government Services,Kolkata,2024-09-13,Pending
67,Dirty public toilets in market,Sanitation,Medium,Sanitation,Mumbai,2024-09-09,In Progress
68,Public hand pump not working,Water,High,Water,Mumbai,2024-03-12,Pending
69,Delay in issuing birth certificate,Government Services,Medium,Government Services,Chennai,2025-07-24,In Progress
70,Noise disturbance at night,Police/Safety,Medium,Police/Safety,Chennai,2024-02-19,In Progress
71,Fake loan app scam reported,IT Fraud,Medium,IT Fraud,Hyderabad,2024-10-29,Resolved
72,Drain blockage causing foul smell,Sanitation,Low,Sanitation,Patna,2024-05-02,Resolved
73,Fake loan app scam reported,IT Fraud,High,IT Fraud,Bangalore,2024-06-27,Pending
74,Harassment reported in public place,Police/Safety,High,Police/Safety,Chennai,2024-05-15,Resolved
75,Garbage not collected for several days,Sanitation,Medium,Sanitation,Patna,2024-05-20,Pending
76,Corruption complaint in local office,Government Services,Low,Government Services,Ranchi,2024-02-26,Pending
77,Harassment reported in public place,Police/Safety,Medium,Police/Safety,Bangalore,2024-05-22,Pending
78,Pension not credited this month,Government Services,Medium,Government Services,Delhi,2024-05-18,Pending
79,Water pipeline leakage near house,Water,Medium,Water,Hyderabad,2025-05-28,Pending
80,No drinking water in school campus,Education,Low,Education,Hyderabad,2024-07-30,In Progress
81,Aadhaar update not processed,Government Services,Low,Government Services,Kolkata,2024-11-29,Resolved
82,Water logging due to bad road condition,Roads,Low,Roads,Bangalore,2024-01-18,Pending
83,Illegal activities happening nearby,Police/Safety,Medium,Police/Safety,Hyderabad,2025-06-11,Pending
84,Fake loan app scam reported,IT Fraud,Low,IT Fraud,Patna,2024-07-31,In Progress
85,Hospital hygiene very poor,Health,Low,Health,Ranchi,2025-07-18,In Progress
86,Ambulance service delayed during emergency,Health,Medium,Health,Mumbai,2024-10-27,Pending
87,Broken road near market area,Roads,High,Roads,Hyderabad,2025-04-07,In Progress
88,No doctor available in government hospital,Health,Low,Health,Bangalore,2025-06-02,Pending
89,Low water pressure in the area,Water,High,Water,Kolkata,2024-01-29,In Progress
90,Road full of potholes causing accidents,Roads,Low,Roads,Mumbai,2024-10-22,Resolved
91,Drain blockage causing foul smell,Sanitation,Low,Sanitation,Chennai,2025-03-17,In Progress
92,Overflowing dustbins in the area,Sanitation,Medium,Sanitation,Ranchi,2024-03-03,Pending
93,Ambulance service delayed during emergency,Health,Low,Health,Mumbai,2024-04-22,Resolved
94,Hospital hygiene very poor,Health,Medium,Health,Delhi,2025-02-13,Pending
95,No drinking water in school campus,Education,Low,Education,Chennai,2024-01-13,In Progress
96,Bus stop shelter damaged,Transport,Medium,Transport,Bangalore,2024-11-21,In Progress
97,Aadhaar update not processed,Government Services,Low,Government Services,Hyderabad,2025-05-18,Resolved
98,No doctor available in government hospital,Health,Medium,Health,Ranchi,2025-04-29,In Progress
99,UPI payment fraud reported,IT Fraud,Medium,IT Fraud,Kolkata,2024-01-04,Resolved
100,No doctor available in government hospital,Health,High,Health,Bangalore,2025-03-28,Pending
101,Pension not credited this month,Government Services,Low,Government Services,Delhi,2025-01-19,In Progress
102,Noise disturbance at night,Police/Safety,High,Police/Safety,Mumbai,2024-02-10,Resolved
103,Fake loan app scam reported,IT Fraud,Medium,IT Fraud,Patna,2024-05-17,In Progress
104,Road construction incomplete for months,Roads,High,Roads,Delhi,2024-06-03,In Progress
105,Overcrowding in buses,Transport,Medium,Transport,Hyderabad,2024-11-01,In Progress
106,Overflowing dustbins in the area,Sanitation,Low,Sanitation,Patna,2024-05-05,Resolved
107,Voltage fluctuations damaging appliances,Electricity,Low,Electricity,Ranchi,2024-09-12,In Progress
108,Harassment reported in public place,Police/Safety,Low,Police/Safety,Mumbai,2025-06-08,In Progress
109,Teacher not attending classes regularly,Education,High,Education,Ranchi,2024-02-05,Pending
110,Water logging due to bad road condition,Roads,High,Roads,Ranchi,2024-06-02,Pending
111,No water supply for last two days,Water,High,Water,Delhi,2024-02-22,In Progress
112,Shortage of medicines in health center,Health,Low,Health,Hyderabad,2024-11-14,In Progress
113,Frequent power cuts in our area,Electricity,High,Electricity,Bangalore,2025-02-02,Pending
114,Road full of potholes causing accidents,Roads,Medium,Roads,Hyderabad,2025-05-29,Pending
115,Delay in issuing birth certificate,Government Services,Medium,Government Services,Patna,2024-05-16,In Progress
116,Poor cleanliness in buses,Transport,Low,Transport,Chennai,2024-05-14,Pending
117,Bus service not running on schedule,Transport,High,Transport,Kolkata,2025-06-27,Pending
118,Road construction incomplete for months,Roads,Medium,Roads,Kolkata,2025-04-18,In Progress
119,Overflowing dustbins in the area,Sanitation,Low,Sanitation,Mumbai,2024-03-02,Resolved
120,Shortage of medicines in health center,Health,High,Health,Mumbai,2024-12-23,Pending
121,Bank OTP fraud attempt,IT Fraud,High,IT Fraud,Mumbai,2024-06-04,Resolved
122,Theft reported in neighborhood,Police/Safety,Medium,Police/Safety,Bangalore,2025-05-08,Pending
123,Fake loan app scam reported,IT Fraud,Low,IT Fraud,Ranchi,2025-04-07,Resolved
124,Water logging due to bad road condition,Roads,High,Roads,Delhi,2024-05-02,Pending
125,Frequent power cuts in our area,Electricity,Low,Electricity,Kolkata,2025-03-20,In Progress
126,Scholarship payment delayed,Education,Low,Education,Patna,2024-01-08,In Progress
127,Road construction incomplete for months,Roads,Low,Roads,Ranchi,2024-10-13,Resolved
128,Train ticket booking issue,Transport,Low,Transport,Delhi,2024-03-06,Pending
129,Open garbage dumping ground issue,Sanitation,High,Sanitation,Ranchi,2024-10-08,In Progress
130,Transformer failure in locality,Electricity,Medium,Electricity,Chennai,2024-03-20,Pending
131,Delay in issuing birth certificate,Government Services,High,Government Services,Chennai,2024-08-14,Pending
132,Water pipeline leakage near house,Water,Medium,Water,Ranchi,2024-08-07,Pending
133,Overflowing dustbins in the area,Sanitation,High,Sanitation,Chennai,2024-08-07,Resolved
134,Road construction incomplete for months,Roads,High,Roads,Delhi,2025-04-27,In Progress
135,Train ticket booking issue,Transport,Medium,Transport,Bangalore,2024-10-24,Resolved
136,Illegal activities happening nearby,Police/Safety,High,Police/Safety,Patna,2025-02-07,Pending
137,No water supply for last two days,Water,High,Water,Patna,2025-06-19,In Progress
138,Vaccination not available in local clinic,Health,High,Health,Mumbai,2024-07-04,Pending
139,Road construction incomplete for months,Roads,High,Roads,Hyderabad,2025-04-30,In Progress
140,Illegal activities happening nearby,Police/Safety,Medium,Police/Safety,Bangalore,2024-02-03,Resolved
141,No drinking water in school campus,Education,Medium,Education,Kolkata,2024-09-12,Resolved
142,Poor cleanliness in buses,Transport,Medium,Transport,Chennai,2024-10-15,Pending
143,Street lights not working,Electricity,Medium,Electricity,Chennai,2025-07-06,Pending
144,Bus service not running on schedule,Transport,Low,Transport,Delhi,2024-04-09,Pending
145,Vaccination not available in local clinic,Health,Low,Health,Bangalore,2024-10-23,Pending
146,Poor cleanliness in buses,Transport,Medium,Transport,Delhi,2025-06-13,Resolved
147,Overcrowding in buses,Transport,Medium,Transport,Hyderabad,2025-02-09,Pending
148,Scholarship payment delayed,Education,Low,Education,Patna,2025-04-25,Pending
149,Train ticket booking issue,Transport,Medium,Transport,Patna,2024-01-07,Pending
150,Bus service not running on schedule,Transport,Medium,Transport,Delhi,2025-02-22,In Progress
151,Road full of potholes causing accidents,Roads,Low,Roads,Delhi,2025-02-14,Resolved
152,Water logging due to bad road condition,Roads,Low,Roads,Ranchi,2025-04-14,Pending
153,Road full of potholes causing accidents,Roads,Low,Roads,Hyderabad,2025-01-08,Resolved
154,Hospital hygiene very poor,Health,Low,Health,Ranchi,2024-10-31,In Progress
155,Huge pothole near school entrance,Roads,Low,Roads,Hyderabad,2024-03-12,In Progress
156,Aadhaar update not processed,Government Services,Low,Government Services,Chennai,2024-11-09,In Progress
157,Theft reported in neighborhood,Police/Safety,Low,Police/Safety,Patna,2024-05-20,Resolved
158,Dirty public toilets in market,Sanitation,High,Sanitation,Kolkata,2024-09-27,Pending
159,Social media account hacked,IT Fraud,Medium,IT Fraud,Mumbai,2025-01-09,Pending
160,Open garbage dumping ground issue,Sanitation,Medium,Sanitation,Chennai,2025-05-03,Pending
161,Scholarship payment delayed,Education,Medium,Education,Kolkata,2024-03-18,Pending
162,Vaccination not available in local clinic,Health,Medium,Health,Chennai,2025-03-24,Resolved
163,Road full of potholes causing accidents,Roads,Medium,Roads,Patna,2025-03-04,Resolved
164,Harassment reported in public place,Police/Safety,Medium,Police/Safety,Hyderabad,2025-01-06,In Progress
165,Hospital hygiene very poor,Health,High,Health,Delhi,2025-02-09,In Progress
166,Shortage of medicines in health center,Health,Low,Health,Hyderabad,2024-07-07,In Progress
167,Lack of books in school library,Education,High,Education,Mumbai,2024-09-15,Pending
168,No water supply for last two days,Water,Medium,Water,Kolkata,2024-10-30,Pending
169,Low water pressure in the area,Water,High,Water,Ranchi,2024-04-24,Pending
170,Overflowing dustbins in the area,Sanitation,Medium,Sanitation,Mumbai,2024-01-21,Resolved
171,Noise disturbance at night,Police/Safety,Low,Police/Safety,Delhi,2024-11-11,Resolved
172,Overcrowding in buses,Transport,Medium,Transport,Patna,2025-05-17,Pending
173,Noise disturbance at night,Police/Safety,Medium,Police/Safety,Bangalore,2025-03-08,In Progress
174,Social media account hacked,IT Fraud,High,IT Fraud,Bangalore,2024-10-28,In Progress
175,No doctor available in government hospital,Health,Medium,Health,Hyderabad,2024-04-02,Pending
176,Noise disturbance at night,Police/Safety,High,Police/Safety,Bangalore,2025-01-05,Pending
177,Suspicious person roaming in colony,Police/Safety,Low,Police/Safety,Chennai,2024-10-17,Resolved
178,Suspicious person roaming in colony,Police/Safety,High,Police/Safety,Ranchi,2024-12-31,Pending
179,Transformer failure in locality,Electricity,Medium,Electricity,Patna,2025-04-13,Resolved
180,Theft reported in neighborhood,Police/Safety,Low,Police/Safety,Bangalore,2025-06-24,Resolved
181,Frequent power cuts in our area,Electricity,Low,Electricity,Kolkata,2025-04-12,In Progress
182,Garbage not collected for several days,Sanitation,Medium,Sanitation,Kolkata,2025-04-19,Pending
183,Illegal activities happening nearby,Police/Safety,Medium,Police/Safety,Delhi,2024-09-06,In Progress
184,Road full of potholes causing accidents,Roads,High,Roads,Delhi,2024-02-16,Resolved
185,Fake loan app scam reported,IT Fraud,Medium,IT Fraud,Bangalore,2025-06-28,In Progress
186,Transformer failure in locality,Electricity,Medium,Electricity,Hyderabad,2024-08-04,In Progress
187,No water supply for last two days,Water,High,Water,Patna,2024-04-20,In Progress
188,Pension not credited this month,Government Services,Low,Government Services,Delhi,2025-02-05,In Progress
189,Poor infrastructure in government school,Education,Medium,Education,Ranchi,2025-03-06,Resolved
190,Overflowing dustbins in the area,Sanitation,Low,Sanitation,Ranchi,2024-08-21,Pending
191,Lack of books in school library,Education,High,Education,Ranchi,2024-08-02,In Progress
192,Vaccination not available in local clinic,Health,High,Health,Patna,2025-03-14,In Progress
193,Fake loan app scam reported,IT Fraud,Medium,IT Fraud,Chennai,2024-09-10,Pending
194,Pension not credited this month,Government Services,High,Government Services,Hyderabad,2024-05-03,Resolved
195,Overflowing dustbins in the area,Sanitation,High,Sanitation,Mumbai,2025-02-24,In Progress
196,Poor infrastructure in government school,Education,Low,Education,Kolkata,2024-02-24,Pending
197,Shortage of medicines in health center,Health,Medium,Health,Hyderabad,2024-02-04,Resolved
198,Scholarship payment delayed,Education,High,Education,Delhi,2024-09-06,In Progress
199,Garbage not collected for several days,Sanitation,Medium,Sanitation,Chennai,2025-06-08,Resolved
200,Theft reported in neighborhood,Police/Safety,Low,Police/Safety,Hyderabad,2024-01-09,Pending
201,Water pipeline leakage near house,Water,Medium,Water,Hyderabad,2025-08-13,In Progress
202,Poor cleanliness in buses,Transport,Medium,Transport,Hyderabad,2024-12-28,Resolved
203,Poor cleanliness in buses,Transport,Medium,Transport,Mumbai,2025-05-17,Resolved
204,Dirty water coming from taps,Water,Medium,Water,Kolkata,2024-11-10,Pending
205,Poor cleanliness in buses,Transport,Medium,Transport,Patna,2024-10-25,Pending
206,Dirty public toilets in market,Sanitation,Low,Sanitation,Ranchi,2025-06-19,In Progress
207,Bus stop shelter damaged,Transport,High,Transport,Chennai,2024-12-23,Resolved
208,Social media account hacked,IT Fraud,Medium,IT Fraud,Hyderabad,2024-12-19,In Progress
209,Electric pole wire hanging dangerously,Electricity,High,Electricity,Patna,2025-03-31,Pending
210,Open garbage dumping ground issue,Sanitation,Medium,Sanitation,Chennai,2025-05-13,Pending
211,Suspicious person roaming in colony,Police/Safety,High,Police/Safety,Chennai,2025-01-30,Resolved
212,Road full of potholes causing accidents,Roads,High,Roads,Mumbai,2025-05-01,Pending
213,Water logging due to bad road condition,Roads,Low,Roads,Bangalore,2024-01-04,Resolved
214,Frequent power cuts in our area,Electricity,High,Electricity,Chennai,2024-08-22,In Progress
215,Transformer failure in locality,Electricity,Medium,Electricity,Bangalore,2025-08-22,In Progress
216,Aadhaar update not processed,Government Services,Medium,Government Services,Ranchi,2025-08-19,Resolved
217,Corruption complaint in local office,Government Services,Low,Government Services,Mumbai,2024-02-20,Pending
218,Theft reported in neighborhood,Police/Safety,Medium,Police/Safety,Mumbai,2025-05-31,In Progress
219,Illegal activities happening nearby,Police/Safety,Medium,Police/Safety,Delhi,2025-04-12,Pending
220,Overflowing dustbins in the area,Sanitation,Low,Sanitation,Chennai,2024-10-13,Resolved
221,Noise disturbance at night,Police/Safety,Low,Police/Safety,Chennai,2025-08-18,In Progress
222,Delay in issuing birth certificate,Government Services,Low,Government Services,Delhi,2024-06-15,In Progress
223,Overflowing dustbins in the area,Sanitation,Low,Sanitation,Kolkata,2025-01-27,Pending
224,Voltage fluctuations damaging appliances,Electricity,High,Electricity,Hyderabad,2024-09-07,Pending
225,Overflowing dustbins in the area,Sanitation,Low,Sanitation,Delhi,2025-01-02,In Progress
226,Bus stop shelter damaged,Transport,High,Transport,Ranchi,2025-06-11,Resolved
227,Electric pole wire hanging dangerously,Electricity,Low,Electricity,Kolkata,2025-04-29,Pending
228,Scholarship payment delayed,Education,High,Education,Hyderabad,2024-12-26,Pending
229,Water logging due to bad road condition,Roads,Low,Roads,Delhi,2025-01-16,In Progress
230,Dirty public toilets in market,Sanitation,Medium,Sanitation,Bangalore,2024-10-10,Pending
231,Scholarship payment delayed,Education,Low,Education,Mumbai,2025-08-03,Resolved
232,No drinking water in school campus,Education,High,Education,Hyderabad,2025-02-02,Pending
233,Voltage fluctuations damaging appliances,Electricity,Low,Electricity,Ranchi,2024-06-09,In Progress
234,Poor infrastructure in government school,Education,High,Education,Bangalore,2024-12-31,In Progress
235,Overcrowding in buses,Transport,Low,Transport,Delhi,2024-02-16,In Progress
236,Broken road near market area,Roads,Medium,Roads,Patna,2025-06-11,Pending
237,Pension not credited this month,Government Services,Medium,Government Services,Delhi,2024-04-17,Pending
238,Corruption complaint in local office,Government Services,Medium,Government Services,Kolkata,2025-01-23,Resolved
239,Harassment reported in public place,Police/Safety,High,Police/Safety,Bangalore,2024-03-28,Pending
240,Huge pothole near school entrance,Roads,Medium,Roads,Delhi,2025-04-02,Resolved
241,Electric pole wire hanging dangerously,Electricity,Low,Electricity,Bangalore,2025-02-07,In Progress
242,Dirty water coming from taps,Water,Low,Water,Mumbai,2024-08-30,Resolved
243,Water pipeline leakage near house,Water,Low,Water,Chennai,2024-02-27,Pending
244,Water logging due to bad road condition,Roads,Medium,Roads,Hyderabad,2025-08-14,Pending
245,Poor cleanliness in buses,Transport,Low,Transport,Delhi,2025-02-04,Pending
246,Overcrowding in buses,Transport,Medium,Transport,Ranchi,2025-03-29,Pending
247,No drinking water in school campus,Education,Low,Education,Ranchi,2025-05-20,Resolved
248,Pension not credited this month,Government Services,Medium,Government Services,Hyderabad,2025-06-01,In Progress
249,Shortage of medicines in health center,Health,High,Health,Hyderabad,2024-04-06,In Progress
250,Corruption complaint in local office,Government Services,Low,Government Services,Mumbai,2024-04-11,Resolved
251,Harassment reported in public place,Police/Safety,High,Police/Safety,Hyderabad,2024-02-01,Pending
252,Train ticket booking issue,Transport,Medium,Transport,Bangalore,2024-12-12,Pending
253,Bus stop shelter damaged,Transport,Low,Transport,Mumbai,2024-10-20,Pending
254,Road full of potholes causing accidents,Roads,High,Roads,Chennai,2025-07-15,In Progress
255,Harassment reported in public place,Police/Safety,High,Police/Safety,Ranchi,2024-06-21,Pending
256,Overflowing dustbins in the area,Sanitation,Low,Sanitation,Ranchi,2025-08-16,Resolved
257,Water pipeline leakage near house,Water,Low,Water,Mumbai,2024-05-27,Pending
258,Fake job website asking money,IT Fraud,Medium,IT Fraud,Patna,2025-07-01,Resolved
259,Pension not credited this month,Government Services,Medium,Government Services,Patna,2024-06-24,Resolved
260,Street lights not working,Electricity,Low,Electricity,Hyderabad,2024-08-26,Resolved
261,Open garbage dumping ground issue,Sanitation,Low,Sanitation,Delhi,2024-04-10,In Progress
262,Transformer failure in locality,Electricity,High,Electricity,Bangalore,2024-04-20,Pending
263,No doctor available in government hospital,Health,Low,Health,Mumbai,2024-04-01,In Progress
264,Aadhaar update not processed,Government Services,Medium,Government Services,Chennai,2024-05-29,Resolved
265,Road construction incomplete for months,Roads,Medium,Roads,Mumbai,2024-12-20,In Progress
266,Theft reported in neighborhood,Police/Safety,Low,Police/Safety,Ranchi,2025-01-22,In Progress
267,Theft reported in neighborhood,Police/Safety,Medium,Police/Safety,Hyderabad,2024-09-03,In Progress
268,UPI payment fraud reported,IT Fraud,High,IT Fraud,Bangalore,2024-01-31,Pending
269,Dirty water coming from taps,Water,High,Water,Chennai,2025-06-26,Pending
270,Ambulance service delayed during emergency,Health,Low,Health,Delhi,2025-05-31,Pending
271,Road full of potholes causing accidents,Roads,Low,Roads,Chennai,2024-03-22,Resolved
272,Noise disturbance at night,Police/Safety,Low,Police/Safety,Patna,2025-01-12,Resolved
273,Shortage of medicines in health center,Health,Medium,Health,Hyderabad,2024-02-11,In Progress
274,Frequent power cuts in our area,Electricity,Low,Electricity,Mumbai,2024-05-08,Pending
275,Voltage fluctuations damaging appliances,Electricity,Medium,Electricity,Delhi,2024-02-28,In Progress
276,Transformer failure in locality,Electricity,Low,Electricity,Kolkata,2025-04-02,Resolved
277,Vaccination not available in local clinic,Health,Medium,Health,Mumbai,2025-01-18,In Progress
278,Aadhaar update not processed,Government Services,Low,Government Services,Delhi,2025-04-18,Resolved
279,No water supply for last two days,Water,High,Water,Patna,2024-05-09,Resolved
280,Open garbage dumping ground issue,Sanitation,Medium,Sanitation,Bangalore,2025-01-03,In Progress
281,Corruption complaint in local office,Government Services,High,Government Services,Kolkata,2025-01-31,In Progress
282,Public hand pump not working,Water,Low,Water,Hyderabad,2024-10-16,Resolved
283,Illegal activities happening nearby,Police/Safety,Medium,Police/Safety,Delhi,2025-05-17,Resolved
284,Teacher not attending classes regularly,Education,High,Education,Patna,2024-01-03,Resolved
285,Huge pothole near school entrance,Roads,Medium,Roads,Mumbai,2024-03-11,Pending
286,Low water pressure in the area,Water,Medium,Water,Chennai,2024-04-18,In Progress
287,Corruption complaint in local office,Government Services,High,Government Services,Bangalore,2024-07-09,In Progress
288,Hospital hygiene very poor,Health,Low,Health,Bangalore,2025-06-16,In Progress
289,Theft reported in neighborhood,Police/Safety,Medium,Police/Safety,Mumbai,2024-01-25,Pending
290,UPI payment fraud reported,IT Fraud,High,IT Fraud,Ranchi,2024-05-16,Pending
291,Open garbage dumping ground issue,Sanitation,Low,Sanitation,Hyderabad,2025-02-26,Resolved
292,Frequent power cuts in our area,Electricity,Low,Electricity,Bangalore,2024-04-30,Resolved
293,Teacher not attending classes regularly,Education,Low,Education,Mumbai,2024-08-04,Resolved
294,Illegal activities happening nearby,Police/Safety,Low,Police/Safety,Chennai,2024-05-08,Pending
295,Overcrowding in buses,Transport,High,Transport,Hyderabad,2024-03-18,Pending
296,Shortage of medicines in health center,Health,Low,Health,Bangalore,2025-01-15,Pending
297,Road full of potholes causing accidents,Roads,Medium,Roads,Patna,2025-06-14,Pending
298,Illegal activities happening nearby,Police/Safety,Medium,Police/Safety,Patna,2024-08-02,In Progress
299,Aadhaar update not processed,Government Services,High,Government Services,Mumbai,2025-02-24,In Progress
300,Broken road near market area,Roads,High,Roads,Chennai,2024-03-11,Pending
301,Road construction incomplete for months,Roads,Low,Roads,Kolkata,2024-12-21,Resolved
302,Bank OTP fraud attempt,IT Fraud,Low,IT Fraud,Delhi,2025-01-26,Pending
303,Dirty public toilets in market,Sanitation,Medium,Sanitation,Bangalore,2024-12-27,In Progress
304,Hospital hygiene very poor,Health,Medium,Health,Kolkata,2025-03-05,Pending
305,Corruption complaint in local office,Government Services,High,Government Services,Delhi,2025-08-08,Resolved
306,No doctor available in government hospital,Health,Medium,Health,Patna,2025-01-20,In Progress
307,Huge pothole near school entrance,Roads,High,Roads,Kolkata,2024-02-08,Pending
308,Voltage fluctuations damaging appliances,Electricity,Low,Electricity,Hyderabad,2024-03-22,In Progress
309,Road construction incomplete for months,Roads,High,Roads,Patna,2024-12-03,Resolved
310,Water pipeline leakage near house,Water,Medium,Water,Chennai,2024-11-16,Pending
311,Shortage of medicines in health center,Health,High,Health,Ranchi,2024-05-27,Pending
312,Harassment reported in public place,Police/Safety,High,Police/Safety,Delhi,2024-03-25,Resolved
313,Harassment reported in public place,Police/Safety,Medium,Police/Safety,Delhi,2025-06-22,In Progress
314,Suspicious person roaming in colony,Police/Safety,Low,Police/Safety,Patna,2025-02-02,In Progress
315,Social media account hacked,IT Fraud,Medium,IT Fraud,Kolkata,2025-05-16,Pending
316,Electric pole wire hanging dangerously,Electricity,High,Electricity,Ranchi,2024-05-31,Resolved
317,Electric pole wire hanging dangerously,Electricity,Medium,Electricity,Ranchi,2025-02-16,Pending
318,Broken road near market area,Roads,Low,Roads,Patna,2025-03-09,Pending
319,Garbage not collected for several days,Sanitation,High,Sanitation,Kolkata,2024-12-13,In Progress
320,Corruption complaint in local office,Government Services,Low,Government Services,Bangalore,2024-12-05,Resolved
321,Bus stop shelter damaged,Transport,Medium,Transport,Ranchi,2024-05-29,Pending
322,Voltage fluctuations damaging appliances,Electricity,Medium,Electricity,Mumbai,2024-03-17,Pending
